이름,세부카테고리,주소,위도,경도,전화번호,링크
소보키 강남점,술집>요리주점,서울특별시 강남구 봉은사로18길 80 1층,37.5016151,127.0273302,,https://www.tabling.co.kr/restaurant/8588
골드피쉬 딤섬퀴진,술집>요리주점,서울특별시 강남구 압구정로48길 35 투구빌딩 2층,37.5260858,127.0371102,,https://app.catchtable.co.kr/ct/shop/goldfishkorea
주신당 강남,술집>요리주점,서울특별시 강남구 강남대로96길 9 B1,37.4999163,127.0276743,,https://go.catchtable.co.kr/mb48lq
츄라우미 강남본점,술집>요리주점,서울특별시 강남구 언주로93길 21 남전타운,37.5033383,127.0403396,,https://app.catchtable.co.kr/ct/shop/churaumiizakaya
연풍민락,술집>이자카야,서울특별시 강동구 천호대로157길 18 2층 연풍민락,37.5385014,127.1275006,,https://www.instagram.com/yeonpung_/
스시현,술집>이자카야,서울특별시 강동구 천호대로158길 19 스시현,37.5365534,127.1263908,,https://m.place.naver.com/restaurant/1631355713
수지상회 천호점,술집>요리주점,서울특별시 강동구 천호대로157길 22 2층,37.5386614,127.1274322,,https://www.instagram.com/suji__ch
쿠시 수유본점,술집>이자카야,서울특별시 강북구 노해로8길 9-20 1층 쿠시,37.6386786,127.0235759,,http://instagram.com/koosi0039
대동집 미아사거리점,술집>요리주점,서울특별시 강북구 도봉로6길 8 1층,37.6125448,127.0306899,,https://blog.naver.com/hyowoney0323
계원 수유점,술집>이자카야,서울특별시 강북구 한천로143길 29 동방플러스빌 1층 계원,37.6405741,127.0236153,,https://www.instagram.com/gyewon1
당나발포차 수유역점,술집>요리주점,서울특별시 강북구 도봉로87길 15 1층,37.6385172,127.0247411,,https://blog.naver.com/dangnabal_official
취링취링 화곡역 본점,술집>요리주점,서울특별시 강서구 화곡로 127 나동 1층,37.5406509,126.8359733,,https://faview.io/vr/1955
삐딱,술집>요리주점,서울특별시 관악구 남부순환로230길 28 2층,37.4788777,126.9554057,,https://www.instagram.com/bbiddak_seoul
뇌산마을 신림직영점,술집>요리주점,서울특별시 관악구 남부순환로 1600-9 1층 뇌산마을,37.4838134,126.9289921,,https://app.catchtable.co.kr/ct/shop/nsvillagesl
쑥고개,술집>요리주점,서울특별시 관악구 관악로14길 16 지하1층,37.4790878,126.9534117,,https://instagram.com/ssukgogae_seoul?utm_medium=copy_link
준코 신림2호점,술집>요리주점,"서울특별시 관악구 신림로59길 14 지하1층, 2층",37.4832830,126.9287734,,https://www.facebook.com/juncomt1997
요비 건대입구본점,술집>이자카야,서울특별시 광진구 아차산로29길 34,37.5423051,127.0688851,,https://app.catchtable.co.kr/ct/shop/yobi?from=share&type=DINING
신선술집 도원 건대 본점,술집>요리주점,"서울특별시 광진구 아차산로33길 33 2, 3층",37.5417435,127.0704477,,https://dowon.jalib.site/
만경상회 건대본점,술집>요리주점,서울특별시 광진구 동일로22길 40,37.5419016,127.0663703,,https://booking.naver.com/booking/6/bizes/79098
후토,술집>이자카야,서울특별시 광진구 동일로24길 98 2층 후토,37.5423383,127.0702630,,https://www.instagram.com/izakaya_huto
